city,city_label,listing_count,median_unit_price_yuan_m2,mean_unit_price_yuan_m2,median_total_price_10k_yuan,median_area_m2
东方,东方,114,12563.0,13073.67543859649,81.5,70.0
海安,海安,112,12454.5,13517.94642857143,145.0,111.0
泉港,泉港,26,12443.0,13037.346153846154,138.5,124.5
哈尔滨,哈尔滨,40,12384.0,11498.775,109.4,93.99000000000001
重庆,Chongqing,100,12320.5,13250.08,109.69999999999999,89.96000000000001
汕头,汕头,119,12292.0,12499.70588235294,151.0,126.0
保定,保定,95,12252.0,12234.494736842105,113.2,93.0
万宁,万宁,117,12241.0,13976.794871794871,90.0,74.49
文昌,文昌,99,12239.0,14663.808080808081,95.0,75.0
龙海,龙海,121,12202.0,12677.066115702479,136.4,103.2
孟津,孟津,31,12144.0,11692.387096774193,155.0,133.0
新安,新安,49,12143.0,11614.408163265307,140.0,128.12
如东,如东,115,12143.0,13276.939130434783,145.0,112.86
伊川,伊川,22,12133.0,12162.863636363636,150.5,133.12
泰州,泰州,60,12098.5,12551.666666666666,128.0,108.5
仪征,仪征,116,12077.0,12340.698275862069,117.4,104.11
芜湖,芜湖,119,12069.0,11773.10924369748,120.0,99.5
定兴,定兴,67,12041.0,12102.059701492537,118.0,93.0
汝阳,汝阳,49,12013.0,11743.57142857143,156.0,137.0
赣州,赣州,120,11993.0,11405.675,136.5,122.0
中山,中山,95,11961.0,12361.736842105263,125.0,105.0
偃师,偃师,30,11959.5,11576.966666666667,144.0,135.0
瑞金,瑞金,58,11959.0,11657.293103448275,129.0,117.5
巫山,巫山,81,11959.0,12196.074074074075,103.0,92.6
邕宁,邕宁,65,11946.0,12850.246153846154,125.0,99.0
洛阳,洛阳,70,11941.5,11698.6,140.0,134.5
宜阳,宜阳,42,11924.5,11923.119047619048,151.5,126.0
海南,海南,88,11920.0,13841.818181818182,83.0,70.5
盐城,盐城,113,11856.0,12415.690265486726,119.8,106.45
太仓,太仓,139,11792.0,12283.812949640287,112.0,93.0
